BinCenter;Histo01;Histo02;Histo03;Histo04
68482.5;16;17;17;0
68495.5;14;10;10;0
68508.5;8;14;14;0
68521.5;22;13;13;0
68534.5;11;5;5;0
68547.5;18;10;10;0
68560.5;16;7;7;0
68573.5;12;18;18;0
68586.5;10;11;11;0
68599.5;9;18;18;0
68612.5;7;10;10;0
68625.5;14;15;15;0
68638.5;14;9;9;0
68651.5;11;8;8;0
68664.5;9;21;21;0
68677.5;14;16;16;0
68690.5;14;15;15;0
68703.5;18;17;17;0
68716.5;15;15;15;0
68729.5;19;22;22;0
68742.5;18;10;10;0
68755.5;4;13;13;0
68768.5;7;20;20;0
68781.5;14;11;11;0
68794.5;19;7;7;0
68807.5;13;15;15;0
68820.5;13;12;12;0
68833.5;11;13;13;0
68846.5;17;18;18;0
68859.5;9;13;13;0
68872.5;7;14;14;0
68885.5;19;4;4;0
68898.5;12;15;15;0
68911.5;12;16;16;0
68924.5;7;11;11;0
68937.5;12;12;12;0
68950.5;12;15;15;0
68963.5;9;17;17;0
68976.5;5;13;13;0
68989.5;15;18;18;0
69002.5;9;10;10;0
69015.5;12;12;12;0
69028.5;8;9;9;0
69041.5;11;20;20;0
69054.5;5;13;13;0
69067.5;7;16;16;0
69080.5;12;14;14;0
69093.5;10;16;16;0
69106.5;10;18;18;0
69119.5;9;16;16;0
69132.5;14;18;18;0
69145.5;10;13;13;0
69158.5;12;19;19;0
69171.5;12;17;17;0
69184.5;11;19;19;0
69197.5;17;6;6;0
69210.5;15;15;15;0
69223.5;10;17;17;0
69236.5;11;7;7;0
69249.5;13;12;12;0
69262.5;10;15;15;0
69275.5;14;15;15;0
69288.5;15;10;10;0
69301.5;11;9;9;0
69314.5;12;11;11;0
69327.5;10;13;13;0
69340.5;10;21;21;0
69353.5;11;30;30;0
69366.5;13;9;9;0
69379.5;13;9;9;0
69392.5;15;14;14;0
69405.5;14;13;13;0
69418.5;11;17;17;0
69431.5;9;16;16;0
69444.5;6;10;10;0
69457.5;14;11;11;0
69470.5;14;14;14;0
69483.5;6;14;14;0
69496.5;12;16;16;0
69509.5;7;9;9;0
69522.5;17;19;19;0
69535.5;13;17;17;0
69548.5;9;19;19;0
69561.5;10;8;8;0
69574.5;17;14;14;0
69587.5;14;12;12;0
69600.5;12;11;11;0
69613.5;12;13;13;0
69626.5;11;11;11;0
69639.5;12;11;11;0
69652.5;12;10;10;0
69665.5;13;9;9;0
69678.5;7;13;13;0
69691.5;5;18;18;0
69704.5;9;12;12;0
69717.5;11;9;9;0
69730.5;8;13;13;0
69743.5;12;14;14;0
69756.5;11;9;9;0
69769.5;11;15;15;0
69782.5;14;12;12;0
69795.5;10;9;9;0
69808.5;13;15;15;0
69821.5;15;10;10;0
69834.5;13;10;10;0
69847.5;9;12;12;0
69860.5;13;20;20;0
69873.5;9;16;16;0
69886.5;10;9;9;0
69899.5;11;11;11;0
69912.5;8;12;12;0
69925.5;12;6;6;0
69938.5;10;17;17;0
69951.5;5;10;10;0
69964.5;17;6;6;0
69977.5;7;17;17;0
69990.5;9;7;7;0
70003.5;8;11;11;0
70016.5;22;11;11;0
